person_income;person_emp_exp;loan_amnt;loan_intent;loan_int_rate;loan_percent_income;cb_person_cred_hist_length;credit_score;previous_loan_defaults_on_file;loan_status;tenure
344500;4;90000;EDUCATION;1083;26;30;562;No;1;2
344530;14;30000;VENTURE;999;9;100;653;Yes;0;9
344530;26;70000;DEBTCONSOLIDATION;60;2;260;609;Yes;0;5
344570;6;85750;PERSONAL;1942;25;80;660;No;1;2
344630;1;41900;PERSONAL;1475;12;40;552;Yes;0;3
344630;6;51000;EDUCATION;1189;15;40;649;No;0;4
344680;5;30000;VENTURE;691;9;100;586;No;0;3
344720;2;55000;VENTURE;1253;16;20;621;Yes;0;6
344740;3;40000;MEDICAL;1174;12;30;623;No;0;1
344740;29;80000;VENTURE;1186;23;260;617;Yes;0;4
344780;0;25000;MEDICAL;599;7;20;664;No;0;3
344780;0;72000;PERSONAL;999;21;20;620;No;0;4
344840;0;50000;MEDICAL;579;14;20;546;Yes;0;2
344840;3;51870;MEDICAL;1203;15;40;698;No;0;2
344850;3;76000;DEBTCONSOLIDATION;1099;22;70;654;Yes;0;2
344890;0;141250;VENTURE;699;41;40;684;Yes;0;3
344920;2;40000;MEDICAL;768;12;20;680;Yes;0;4
344920;11;59870;MEDICAL;1517;17;90;670;No;1;4
345000;0;100000;PERSONAL;1099;29;30;586;No;0;4
345020;3;10000;DEBTCONSOLIDATION;751;3;30;695;No;0;9
345050;10;50000;VENTURE;1639;14;80;666;No;1;2
345060;2;40000;VENTURE;1287;12;30;625;Yes;0;5
345080;0;10000;HOMEIMPROVEMENT;1098;3;30;660;No;1;7
345100;4;50000;MEDICAL;1607;14;80;606;No;1;6
345100;4;56000;PERSONAL;1412;16;20;601;No;1;5
345120;8;35810;MEDICAL;1609;1;70;724;No;1;2
345130;2;122000;VENTURE;1253;35;40;636;No;0;4
345150;0;50000;MEDICAL;768;14;30;649;No;0;2
345160;2;60000;DEBTCONSOLIDATION;788;17;30;591;Yes;0;3
345200;3;15000;PERSONAL;1417;4;40;666;Yes;0;6
345200;2;50000;EDUCATION;80;14;20;670;Yes;0;4
345230;0;50000;VENTURE;1178;14;30;524;Yes;0;6
345230;0;70000;DEBTCONSOLIDATION;1043;2;30;620;Yes;0;6
345240;20;62500;HOMEIMPROVEMENT;1101;18;130;607;No;1;5
345240;9;63000;HOMEIMPROVEMENT;1199;18;80;704;No;0;6
345270;1;40000;EDUCATION;692;12;40;691;Yes;0;8
345320;3;97650;EDUCATION;782;28;30;597;No;0;5
345330;9;96000;DEBTCONSOLIDATION;1357;28;60;609;No;1;3
345330;6;120000;DEBTCONSOLIDATION;1422;35;80;615;No;1;8
345340;0;85000;VENTURE;624;25;30;515;Yes;0;5
345350;4;50000;MEDICAL;1751;14;70;632;No;1;5
345380;0;40000;MEDICAL;100;12;20;500;Yes;0;7
345400;0;60000;PERSONAL;963;17;40;664;No;0;1
345430;13;42000;PERSONAL;1284;12;80;649;Yes;0;4
345430;9;144000;MEDICAL;1218;42;50;714;No;0;4
345440;1;60000;PERSONAL;1059;17;40;627;No;1;3
345460;12;30000;HOMEIMPROVEMENT;999;9;50;696;Yes;0;6
345460;0;167500;EDUCATION;788;48;40;546;No;0;4
345480;4;47670;MEDICAL;1131;14;50;700;Yes;0;7
345490;6;50000;MEDICAL;729;14;90;673;No;0;6
345510;3;65000;MEDICAL;751;19;30;695;Yes;0;2
345510;9;110000;EDUCATION;849;32;80;607;No;0;3
345520;0;33210;HOMEIMPROVEMENT;1401;1;30;500;No;1;3
345520;3;85750;EDUCATION;1942;25;100;658;No;1;4
345590;6;40000;MEDICAL;692;12;70;523;Yes;0;6
345590;2;95000;MEDICAL;894;27;40;504;No;1;5
345620;6;26970;MEDICAL;1321;8;60;672;Yes;0;7
345630;2;60000;EDUCATION;963;17;40;662;Yes;0;6
345630;6;86840;EDUCATION;1723;25;90;667;No;1;4
345650;0;10000;MEDICAL;1253;3;40;627;Yes;0;6
345720;0;32210;DEBTCONSOLIDATION;1138;9;50;631;Yes;0;6
345740;6;34360;HOMEIMPROVEMENT;1589;1;50;645;No;1;3
345770;1;80000;HOMEIMPROVEMENT;1758;23;40;647;No;1;4
345820;14;80000;DEBTCONSOLIDATION;759;23;90;565;Yes;0;8
345830;1;30000;EDUCATION;1059;9;30;543;Yes;0;6
345850;2;24480;MEDICAL;887;7;30;643;Yes;0;4
345880;1;75000;EDUCATION;1101;22;40;597;Yes;0;3
345940;5;98090;MEDICAL;752;28;50;642;No;1;8
345970;0;70000;VENTURE;999;2;40;570;Yes;0;6
346010;0;22000;EDUCATION;1595;6;30;511;No;1;4
346020;0;65800;VENTURE;1096;19;30;524;Yes;0;1
346020;0;120670;DEBTCONSOLIDATION;1346;35;50;644;No;1;4
346070;23;75000;EDUCATION;774;22;170;679;No;0;2
346080;18;75000;EDUCATION;882;22;130;673;Yes;0;6
346180;2;98000;VENTURE;729;28;40;675;No;1;3
346180;1;100000;EDUCATION;542;29;30;548;No;1;4
346190;6;24000;EDUCATION;1149;7;30;635;Yes;0;7
346210;3;18000;MEDICAL;1253;5;30;670;Yes;0;6
346210;3;64000;MEDICAL;1475;18;40;678;Yes;0;2
346240;0;42000;MEDICAL;991;12;40;589;No;1;4
346270;0;97000;HOMEIMPROVEMENT;1134;28;20;489;No;1;5
346310;1;30000;DEBTCONSOLIDATION;1025;9;40;634;No;0;4
346320;9;25310;MEDICAL;1071;7;80;586;No;0;7
346340;3;95290;DEBTCONSOLIDATION;815;28;50;654;No;1;5
346360;6;106250;MEDICAL;79;31;50;666;No;1;5
346370;0;10000;PERSONAL;1025;3;30;582;No;1;7
346370;4;25000;MEDICAL;1099;7;80;680;No;0;4
346370;5;122500;PERSONAL;1126;35;70;620;No;1;5
346380;0;70000;DEBTCONSOLIDATION;788;2;40;594;Yes;0;7
346380;7;88030;EDUCATION;1001;25;100;658;No;1;5
346390;0;32500;MEDICAL;1521;9;20;645;No;1;3
346420;7;55000;PERSONAL;1222;16;50;561;Yes;0;9
346430;6;30000;MEDICAL;1025;9;30;646;No;0;5
346430;0;71200;DEBTCONSOLIDATION;1079;21;50;564;Yes;0;7
346470;1;37500;MEDICAL;1385;11;40;650;Yes;0;3
346500;1;40000;MEDICAL;1101;12;20;585;Yes;0;5
346520;10;60000;PERSONAL;1101;17;50;705;No;0;7
346570;1;40000;EDUCATION;89;12;40;663;Yes;0;6
346590;0;66250;DEBTCONSOLIDATION;1306;19;20;675;No;1;6
346610;2;12500;VENTURE;1099;4;40;619;Yes;0;7
346610;8;80000;PERSONAL;1099;23;80;649;No;0;4
346640;7;92500;MEDICAL;1148;27;90;727;No;1;5
346650;4;10000;MEDICAL;963;3;40;633;Yes;0;3
346660;3;10000;MEDICAL;1156;3;40;692;No;0;5
346660;5;50000;VENTURE;1101;14;100;632;No;0;6
346680;4;60000;VENTURE;1353;17;60;670;Yes;0;7
346740;5;60000;MEDICAL;963;17;40;627;Yes;0;3
346760;1;15130;MEDICAL;1317;4;40;690;Yes;0;5
346790;3;32000;EDUCATION;1059;9;20;639;No;0;2
346790;12;42000;EDUCATION;1314;12;80;722;No;0;4
346800;0;40000;EDUCATION;1523;12;20;473;Yes;0;6
346840;3;40000;VENTURE;639;12;30;683;Yes;0;9
346840;0;42000;EDUCATION;1472;12;40;632;Yes;0;4
346860;24;80000;EDUCATION;749;23;110;700;No;0;5
346870;4;152500;VENTURE;167;44;40;670;No;1;6
346880;26;70110;DEBTCONSOLIDATION;64;2;250;696;Yes;0;2
346890;4;75000;VENTURE;1533;22;30;672;No;1;2
346900;0;95000;MEDICAL;623;27;30;565;No;1;6
346930;10;60000;MEDICAL;1521;17;90;612;No;1;6
346930;3;80000;DEBTCONSOLIDATION;774;23;40;666;Yes;0;6
346980;2;132000;MEDICAL;617;38;100;671;No;1;7
347010;12;30750;VENTURE;1562;9;120;585;No;1;9
347010;2;40000;MEDICAL;1299;12;20;579;Yes;0;4
347010;4;50000;MEDICAL;1127;14;50;584;No;0;7
347030;2;22000;HOMEIMPROVEMENT;1595;6;20;669;No;1;8
347030;0;48000;PERSONAL;1599;14;20;674;No;0;6
347030;6;78000;PERSONAL;888;22;70;666;No;0;3
347070;17;16000;VENTURE;999;5;170;598;Yes;0;5
347110;0;50000;MEDICAL;1101;14;30;644;Yes;0;5
347150;0;10000;EDUCATION;1299;3;40;645;No;0;4
347150;2;80000;DEBTCONSOLIDATION;751;23;40;653;No;0;6
347190;3;87000;EDUCATION;1461;25;90;635;No;1;9
347200;0;10000;HOMEIMPROVEMENT;1629;3;30;599;No;1;8
347200;3;106470;EDUCATION;1093;31;30;574;Yes;0;6
347230;1;50000;VENTURE;1751;14;40;655;No;1;10
347230;4;64290;MEDICAL;1452;19;20;631;Yes;0;4
347240;0;55000;MEDICAL;1038;16;20;582;No;0;3
347260;0;145000;PERSONAL;1253;42;30;598;No;1;5
347280;1;84000;VENTURE;1099;24;20;661;No;0;4
347280;1;100000;DEBTCONSOLIDATION;1101;29;20;540;No;1;4
347320;0;10000;HOMEIMPROVEMENT;1025;3;40;509;No;1;5
347320;8;15000;MEDICAL;1101;4;80;581;Yes;0;6
347330;7;86260;EDUCATION;1403;25;70;644;No;1;4
347340;0;140750;VENTURE;1101;41;20;626;No;1;4
347350;4;48000;MEDICAL;925;14;40;691;No;0;2
347350;6;63000;PERSONAL;1199;18;90;681;No;0;4
347390;8;63000;VENTURE;1199;18;90;610;Yes;0;8
347400;2;80000;DEBTCONSOLIDATION;1284;23;40;530;Yes;0;6
347410;8;95280;DEBTCONSOLIDATION;102;27;50;687;No;1;6
347420;2;80000;EDUCATION;1418;23;30;648;No;1;7
347460;0;50000;MEDICAL;1163;14;30;653;No;0;3
347460;2;95000;DEBTCONSOLIDATION;1562;27;20;630;No;1;1
347470;0;150000;EDUCATION;1099;43;20;543;No;1;8
347480;0;10000;MEDICAL;1295;3;40;645;Yes;0;2
347480;22;75000;HOMEIMPROVEMENT;774;22;160;673;Yes;0;5
347560;0;75000;EDUCATION;1533;22;30;604;No;1;3
347580;1;45000;PERSONAL;1101;13;20;598;No;1;7
347580;1;75000;EDUCATION;857;22;40;583;Yes;0;2
347610;10;120000;DEBTCONSOLIDATION;788;35;50;639;No;1;5
347640;2;100000;MEDICAL;691;29;30;587;No;1;8
347650;0;28750;VENTURE;1523;8;30;633;No;0;5
347650;4;120000;MEDICAL;751;35;90;659;No;1;6
347690;10;15000;PERSONAL;1111;4;50;639;No;0;2
347720;3;58760;HOMEIMPROVEMENT;1169;17;40;647;No;1;7
347720;2;87000;EDUCATION;603;25;20;615;No;1;8
347750;8;100000;MEDICAL;1284;29;90;640;No;1;3
347820;3;32500;MEDICAL;1253;9;90;602;Yes;0;10
347840;16;16000;MEDICAL;100;5;170;652;Yes;0;4
347860;1;98510;MEDICAL;719;28;40;617;No;1;6
347900;6;54600;MEDICAL;1219;16;50;556;Yes;0;4
347900;2;95000;MEDICAL;599;27;30;593;No;1;2
347940;0;37000;EDUCATION;80;11;30;625;Yes;0;5
347950;6;18000;HOMEIMPROVEMENT;542;5;60;664;No;0;5
347950;12;96000;MEDICAL;1357;28;70;649;No;1;0
347960;2;85000;EDUCATION;617;24;20;608;Yes;0;5
348020;14;85000;MEDICAL;1158;24;60;663;Yes;0;3
348120;0;100000;EDUCATION;963;29;40;638;No;0;1
348140;0;92500;MEDICAL;1075;27;20;668;Yes;0;7
348170;3;70000;PERSONAL;1101;2;40;614;Yes;0;6
348190;0;80000;EDUCATION;1099;23;20;647;No;1;4
348280;14;61440;MEDICAL;1083;18;100;654;No;1;6
348290;6;86790;EDUCATION;1509;25;100;668;No;1;9
348360;5;84000;VENTURE;1148;24;60;677;Yes;0;5
348580;15;85000;MEDICAL;1158;24;80;634;No;0;6
348620;0;40000;VENTURE;788;11;30;620;Yes;0;8
348630;8;50000;PERSONAL;1607;14;80;661;No;1;3
348640;10;26000;MEDICAL;1008;7;70;659;Yes;0;5
348800;18;20000;EDUCATION;774;6;160;681;Yes;0;4
348860;6;50450;MEDICAL;1583;14;70;632;No;1;4
348870;3;66250;EDUCATION;1292;19;20;620;Yes;0;6
348970;3;130000;PERSONAL;79;37;30;689;No;1;7
348980;5;70000;DEBTCONSOLIDATION;100;2;30;634;Yes;0;5
349120;0;85000;MEDICAL;768;24;30;610;Yes;0;5
349200;1;80000;DEBTCONSOLIDATION;1465;23;40;655;Yes;0;4
349210;0;71250;DEBTCONSOLIDATION;1101;2;40;656;No;0;4
349310;2;10000;HOMEIMPROVEMENT;1058;3;30;669;No;1;5
349350;0;12000;MEDICAL;1269;3;30;672;No;0;3
349410;1;50860;MEDICAL;1414;15;40;670;No;1;3
349510;3;87000;EDUCATION;1443;25;80;633;No;1;3
349670;0;11410;MEDICAL;1278;3;40;702;No;0;3
349720;0;79000;VENTURE;999;23;20;629;Yes;0;2
349720;6;130000;MEDICAL;1629;37;30;686;No;1;4
349870;0;80000;EDUCATION;1124;23;40;574;Yes;0;5
349910;6;87000;VENTURE;1461;25;100;650;No;1;9
350180;0;15000;EDUCATION;1146;4;40;660;No;0;2
350200;1;55000;MEDICAL;1253;16;20;543;Yes;0;3
350220;15;130000;VENTURE;832;37;120;653;No;0;3
350230;0;85000;DEBTCONSOLIDATION;839;24;30;627;Yes;0;7
350330;8;90000;EDUCATION;1101;26;80;666;No;1;2
350350;0;85000;DEBTCONSOLIDATION;768;24;40;626;Yes;0;6
350410;18;120000;PERSONAL;160;34;140;654;No;0;6
350510;3;107500;DEBTCONSOLIDATION;1114;31;20;584;Yes;0;10
350720;14;20000;VENTURE;1101;6;140;668;Yes;0;8
350760;0;106250;MEDICAL;1101;3;20;681;Yes;0;7
350860;3;14390;MEDICAL;927;4;50;705;Yes;0;9
350920;9;48000;VENTURE;749;14;100;721;Yes;0;3
351040;3;87000;VENTURE;1461;25;80;637;No;1;4
351050;0;48000;EDUCATION;1287;14;30;581;No;0;7
351070;1;40000;DEBTCONSOLIDATION;1059;11;100;676;Yes;0;7
351110;3;88000;DEBTCONSOLIDATION;100;25;100;629;No;1;4
351130;12;20000;EDUCATION;1128;6;120;509;Yes;0;8
351180;2;40000;DEBTCONSOLIDATION;1348;11;20;668;Yes;0;6
351190;10;117570;VENTURE;1357;33;90;619;Yes;0;3
351240;0;100000;EDUCATION;1075;28;20;664;Yes;0;5
351310;0;25000;DEBTCONSOLIDATION;1677;7;20;635;No;1;7
351350;17;18000;EDUCATION;676;5;120;653;Yes;0;2
351600;6;121640;VENTURE;1045;35;80;649;Yes;0;2
351610;0;15650;MEDICAL;833;4;40;670;Yes;0;9
351650;8;67000;VENTURE;1037;19;90;674;No;0;3
351710;4;60000;DEBTCONSOLIDATION;89;17;30;635;Yes;0;8
351770;0;50000;EDUCATION;1165;14;30;714;Yes;0;4
351810;0;80000;DEBTCONSOLIDATION;1565;23;20;518;No;1;10
351820;1;10000;EDUCATION;79;3;30;624;Yes;0;3
351850;0;20000;PERSONAL;729;6;40;571;Yes;0;4
351860;7;24000;PERSONAL;639;7;80;695;Yes;0;2
351960;4;60010;MEDICAL;894;17;30;644;Yes;0;0
351990;0;34000;EDUCATION;894;1;30;666;Yes;0;6
352020;5;60000;EDUCATION;89;17;30;583;Yes;0;6
352050;2;70000;MEDICAL;749;2;40;588;Yes;0;4
352130;9;146880;MEDICAL;1593;42;100;609;No;1;7
352140;3;15000;MEDICAL;774;4;30;648;No;0;7
352150;13;91750;EDUCATION;1269;26;50;656;No;1;5
352160;0;85000;MEDICAL;1114;24;30;635;No;0;6
352180;0;48000;MEDICAL;1299;14;40;695;No;0;4
352190;6;26000;VENTURE;774;7;70;615;Yes;0;4
352210;8;40000;EDUCATION;1059;11;80;665;Yes;0;6
352390;0;80000;MEDICAL;1149;23;20;688;No;0;4
352430;0;38270;PERSONAL;1594;11;40;617;No;1;9
352440;2;100000;DEBTCONSOLIDATION;1649;28;40;594;No;0;4
352480;11;66570;DEBTCONSOLIDATION;1088;19;110;704;Yes;0;1
352740;14;54000;EDUCATION;1347;15;110;586;Yes;0;4
352740;0;105140;DEBTCONSOLIDATION;1199;3;20;629;Yes;0;3
352750;5;40000;EDUCATION;774;11;70;490;Yes;0;5
352760;0;38250;VENTURE;1596;11;30;563;No;1;6
352800;0;100000;PERSONAL;1134;28;30;650;No;1;3
352820;2;130000;HOMEIMPROVEMENT;692;37;100;691;Yes;0;7
352860;1;80000;PERSONAL;1453;23;20;645;No;1;4
352910;22;30000;MEDICAL;1101;9;110;657;Yes;0;5
352910;3;35000;VENTURE;1459;1;30;578;Yes;0;3
352930;8;50000;VENTURE;925;14;70;705;Yes;0;7
352930;1;88750;MEDICAL;1101;25;40;598;No;1;7
352960;13;72000;EDUCATION;1199;2;100;644;No;1;4
353050;10;70000;MEDICAL;751;2;100;708;No;0;8
353050;6;128540;VENTURE;795;36;90;664;Yes;0;9
353060;0;50000;MEDICAL;1199;14;40;624;Yes;0;5
353070;1;70000;DEBTCONSOLIDATION;1273;2;20;657;Yes;0;3
353090;0;80000;EDUCATION;1149;23;20;694;Yes;0;3
353100;6;86400;MEDICAL;1283;24;30;683;No;1;6
353130;3;62500;HOMEIMPROVEMENT;1484;18;40;625;No;1;9
353170;0;80000;MEDICAL;1128;23;20;626;Yes;0;6
353180;15;60000;EDUCATION;1596;17;120;606;No;0;6
353220;14;53900;DEBTCONSOLIDATION;1247;15;120;688;Yes;0;3
353230;0;30000;EDUCATION;1075;8;20;578;Yes;0;7
353280;23;50000;EDUCATION;542;14;150;670;No;0;5
353300;0;40000;MEDICAL;1084;11;20;633;Yes;0;5
353310;0;84920;DEBTCONSOLIDATION;784;24;30;550;Yes;0;3
353320;1;60000;VENTURE;1101;17;30;629;Yes;0;7
353370;14;42000;PERSONAL;1472;12;160;670;No;1;3
353450;0;60000;EDUCATION;138;17;40;588;Yes;0;4
353460;4;15000;EDUCATION;1101;4;40;521;Yes;0;11
353520;12;46500;EDUCATION;1322;13;50;647;Yes;0;4
353550;2;62500;HOMEIMPROVEMENT;1025;18;20;581;Yes;0;2
353570;5;14000;VENTURE;79;4;50;500;Yes;0;8
353580;11;94500;PERSONAL;1427;27;100;536;No;1;4
353590;2;16000;VENTURE;1349;5;80;661;No;1;5
353590;0;42000;MEDICAL;1562;12;30;652;No;1;1
353600;4;30000;VENTURE;1104;8;30;539;Yes;0;10
353630;3;60000;VENTURE;1074;17;20;586;Yes;0;7
353640;0;122500;MEDICAL;751;35;40;639;Yes;0;4
353650;0;12000;HOMEIMPROVEMENT;157;3;40;557;No;1;3
353720;1;50000;EDUCATION;1149;14;20;636;No;0;3
353770;5;20000;EDUCATION;1059;6;80;646;No;0;7
353820;9;90000;MEDICAL;1021;25;90;641;No;1;3
353830;23;65000;MEDICAL;1269;18;150;673;No;0;2
353840;0;50000;EDUCATION;691;14;20;558;Yes;0;7
353850;20;50000;VENTURE;752;14;130;649;Yes;0;4
353860;6;122500;VENTURE;1059;35;90;646;No;1;5
353890;28;50000;VENTURE;1004;14;190;741;No;0;4
353900;0;20000;VENTURE;1037;6;30;658;Yes;0;6
353910;8;62150;PERSONAL;1187;18;90;646;No;0;9
353910;10;145000;PERSONAL;167;41;100;669;No;1;4
353920;1;60000;MEDICAL;999;17;30;604;Yes;0;6
353930;0;60000;MEDICAL;1101;17;30;622;Yes;0;6
353990;4;40000;DEBTCONSOLIDATION;699;11;40;639;No;0;3
354000;0;50000;EDUCATION;714;14;30;646;Yes;0;3
354010;0;60000;MEDICAL;749;17;20;601;Yes;0;3
354020;2;60000;VENTURE;1704;17;40;696;No;1;6
354030;0;38980;PERSONAL;1511;11;60;627;No;1;3
354030;8;45000;PERSONAL;788;13;50;682;No;0;3
354030;9;72250;EDUCATION;692;2;70;625;Yes;0;6
354070;3;14000;HOMEIMPROVEMENT;89;4;30;588;No;1;5
354070;6;40000;VENTURE;1392;11;100;588;No;1;6
354080;26;15000;PERSONAL;1039;4;150;704;No;1;2
354090;8;10000;EDUCATION;1128;3;30;685;No;1;7
354090;1;84000;DEBTCONSOLIDATION;963;24;30;665;Yes;0;5
354090;2;148000;MEDICAL;749;42;30;448;No;1;3
354120;11;25000;PERSONAL;200;7;90;643;No;1;2
354130;0;24000;HOMEIMPROVEMENT;1426;7;40;666;No;1;3
354130;2;124690;VENTURE;734;35;60;581;Yes;0;7
354140;0;40000;MEDICAL;1496;11;40;674;No;1;3
354150;2;149060;MEDICAL;882;42;30;632;No;1;5
354170;18;10000;EDUCATION;1101;3;130;688;Yes;0;3
354200;1;79760;MEDICAL;1325;23;90;676;No;1;4
354210;0;112690;MEDICAL;1047;32;40;679;No;1;6
354250;3;28000;EDUCATION;1038;8;20;634;No;0;4
354250;4;39310;PERSONAL;1473;11;80;601;No;1;4
354260;5;25000;MEDICAL;1101;7;40;637;No;1;7
354260;0;70000;MEDICAL;542;2;40;613;No;0;5
354280;1;10000;EDUCATION;542;3;30;625;No;0;6
354280;7;30360;VENTURE;1275;9;40;571;Yes;0;6
354300;26;15000;MEDICAL;751;4;150;596;Yes;0;6
354300;7;23780;PERSONAL;644;7;80;671;Yes;0;4
354300;0;60000;VENTURE;766;17;40;682;No;0;3
354320;3;30000;EDUCATION;1139;8;30;626;Yes;0;6
354380;4;50000;MEDICAL;1496;14;50;545;Yes;0;2
354410;6;85000;DEBTCONSOLIDATION;1101;24;20;640;Yes;0;8
354420;9;62000;PERSONAL;1223;17;90;612;Yes;0;10
354440;13;100000;EDUCATION;1306;28;70;702;No;1;5
354460;0;90000;DEBTCONSOLIDATION;1101;25;40;588;No;1;3
354500;3;60000;MEDICAL;849;17;80;609;No;1;3
354540;1;92500;VENTURE;1435;26;30;574;No;1;3
354550;14;10540;MEDICAL;1139;3;130;629;No;0;6
354550;0;80000;EDUCATION;89;23;40;571;Yes;0;8
354560;25;100000;PERSONAL;1158;28;110;577;No;0;5
354600;7;150000;EDUCATION;1465;42;80;583;No;1;4
354610;2;88750;PERSONAL;1101;25;20;605;No;1;3
354640;4;100000;VENTURE;1074;28;20;681;No;1;5
354680;4;170780;VENTURE;918;48;50;668;Yes;0;3
354710;3;46000;PERSONAL;1101;13;20;668;No;0;9
354720;6;20000;MEDICAL;116;6;50;702;Yes;0;8
354730;0;80000;EDUCATION;1384;23;20;514;No;1;6
354760;8;150750;HOMEIMPROVEMENT;1101;42;100;611;No;1;6
354770;0;90000;EDUCATION;1171;25;20;720;No;1;6
354820;0;75000;EDUCATION;849;21;20;664;No;0;7
354890;0;30000;DEBTCONSOLIDATION;1242;8;20;684;No;0;5
354920;0;30000;PERSONAL;1111;8;40;654;Yes;0;5
354920;1;145000;PERSONAL;988;41;20;665;Yes;0;12
354940;0;102310;VENTURE;1447;29;20;588;No;0;4
354960;11;50000;MEDICAL;1059;14;90;642;No;0;5
355000;1;30000;EDUCATION;1075;8;20;649;Yes;0;3
355010;1;42000;DEBTCONSOLIDATION;1101;12;30;580;Yes;0;5
355010;2;55000;DEBTCONSOLIDATION;1101;15;30;554;No;0;3
355050;11;94500;DEBTCONSOLIDATION;1629;27;80;676;No;1;2
355070;10;75000;VENTURE;1343;21;70;652;Yes;0;5
355120;4;50000;PERSONAL;1583;14;50;505;No;1;8
355230;23;50000;MEDICAL;788;14;110;697;Yes;0;0
355250;8;50000;EDUCATION;1496;14;50;615;No;0;9
355260;5;40000;DEBTCONSOLIDATION;1059;11;100;701;Yes;0;6
355260;0;134500;MEDICAL;1261;38;30;603;No;1;8
355370;0;30000;VENTURE;1084;8;30;697;Yes;0;6
355410;2;80000;MEDICAL;988;23;20;512;Yes;0;5
355420;0;60000;VENTURE;1562;17;30;672;No;1;8
355420;2;60000;VENTURE;1084;17;30;538;Yes;0;3
355450;15;25000;DEBTCONSOLIDATION;200;7;70;694;No;1;8
355470;0;74000;EDUCATION;1756;21;30;658;No;1;8
355500;0;20000;MEDICAL;859;6;40;637;Yes;0;6
355500;19;50000;PERSONAL;1649;14;130;659;No;1;6
355500;0;122500;MEDICAL;999;34;40;610;No;1;2
355510;2;74440;MEDICAL;112;21;40;644;No;1;4
355540;7;51500;VENTURE;662;14;20;667;No;0;8
355540;5;70000;MEDICAL;692;2;30;568;Yes;0;7
355550;12;40000;MEDICAL;988;11;50;640;Yes;0;2
355600;11;11780;MEDICAL;1189;3;110;657;Yes;0;4
355660;4;50000;EDUCATION;777;14;20;615;Yes;0;7
355680;4;80000;EDUCATION;1101;22;30;580;Yes;0;2
355680;2;140000;VENTURE;79;39;20;573;No;1;6
355690;3;16000;MEDICAL;662;4;20;581;Yes;0;4
355690;10;60000;EDUCATION;159;17;130;620;Yes;0;5
355700;2;134750;VENTURE;1426;38;40;688;No;1;5
355710;6;37610;MEDICAL;962;11;90;656;No;1;5
355710;6;60000;PERSONAL;1523;17;60;653;No;0;5
355720;4;40000;EDUCATION;59;11;40;671;No;0;5
355720;0;90000;MEDICAL;1099;25;20;709;No;1;1
355730;3;100000;EDUCATION;1862;28;40;659;No;1;5
355740;1;100000;MEDICAL;749;28;20;679;No;0;9
355750;0;60910;HOMEIMPROVEMENT;1215;17;40;622;No;1;11
355760;16;95390;PERSONAL;1464;27;130;628;No;1;2
355780;7;60000;HOMEIMPROVEMENT;1075;17;80;674;No;1;3
355790;1;50000;EDUCATION;1484;14;20;684;Yes;0;3
355790;0;68000;EDUCATION;963;19;30;661;Yes;0;5
355800;3;30000;EDUCATION;788;8;70;555;No;1;0
355850;0;40000;MEDICAL;996;11;30;642;No;1;5
355850;5;50000;EDUCATION;881;14;40;632;Yes;0;1
355870;3;92350;EDUCATION;1338;26;40;640;No;1;6
355880;0;50000;DEBTCONSOLIDATION;749;14;30;659;No;0;6
355880;3;50000;EDUCATION;89;14;20;652;No;0;3
355900;3;40000;EDUCATION;611;11;40;672;No;0;6
355900;4;100000;MEDICAL;1862;28;30;560;No;1;8
355900;22;119320;VENTURE;1101;34;150;658;Yes;0;4
355910;5;56000;DEBTCONSOLIDATION;1101;16;50;631;No;1;5
355950;8;20000;EDUCATION;1066;6;90;551;No;0;3
355960;3;55750;PERSONAL;662;16;40;587;Yes;0;4
355980;13;55000;EDUCATION;603;15;150;687;Yes;0;4
355990;0;50000;MEDICAL;1199;14;30;679;Yes;0;5
356000;2;10000;VENTURE;729;3;40;631;Yes;0;6
356010;2;35000;PERSONAL;999;1;40;670;Yes;0;3
356020;0;60000;MEDICAL;1527;17;20;609;No;0;3
356030;2;20000;MEDICAL;859;6;30;622;No;0;4
356040;4;25000;DEBTCONSOLIDATION;1136;7;40;617;No;0;5
356050;0;35000;VENTURE;1101;1;20;661;No;0;10
356060;16;80000;MEDICAL;1037;22;140;669;Yes;0;8
356090;4;50000;MEDICAL;1299;14;20;661;No;1;2
356090;1;66000;EDUCATION;1101;19;30;642;No;0;2
356100;10;67250;PERSONAL;888;19;160;680;Yes;0;4
356100;0;110000;EDUCATION;1505;31;40;655;No;1;5
356140;0;80000;EDUCATION;1222;22;20;526;Yes;0;5
356160;12;53750;HOMEIMPROVEMENT;1111;15;130;627;Yes;0;7
356190;0;40000;EDUCATION;1483;11;40;623;No;1;6
356200;5;15000;PERSONAL;1173;4;60;658;No;0;7
356240;6;62500;PERSONAL;1101;18;90;696;Yes;0;3
356290;2;50000;EDUCATION;837;14;40;639;Yes;0;8
356290;1;85830;MEDICAL;1144;24;20;705;No;0;3
356310;2;15520;PERSONAL;716;4;30;532;No;0;8
356310;6;32000;HOMEIMPROVEMENT;1749;9;20;614;No;1;4
356340;0;100000;MEDICAL;729;28;30;668;No;1;6
356340;4;140000;HOMEIMPROVEMENT;1199;39;90;615;No;1;9
356350;3;14500;PERSONAL;1101;4;40;709;No;1;4
356350;0;110000;PERSONAL;1422;31;40;590;No;1;4
356360;7;40000;MEDICAL;984;11;50;701;No;0;3
356370;7;130000;EDUCATION;1426;36;80;667;No;1;7
